"order_id","mainCommonName","scientific_name","otherCommonNames"
1,"Southern Pig-footed Bandicoot","Chaeropus ecaudatus",NA
2,"Painted Ring-tailed Possum","Pseudochirulus forbesi","Painted Ringtail|Moss-forest Ringtail"
3,"Dramatic White-toothed Shrew","Crocidura ludia","Ludia's Shrew"
4,"Indochinese White-toothed Shrew","Crocidura indochinensis","Indochinese Shrew"
5,"Northern Montane Shrew","Sorex obscurus",NA
6,"Northern Palm Civet","Paradoxurus hermaphroditus","Common Palm Civet"
7,"Black Langur","Trachypithecus ebenus","Black Leaf Monkey|Indochinese Black Langur"
8,"Napo Saki","Pithecia napensis",NA
9,"Buff-footed Antechinus","Antechinus mysticus",NA
10,"Mountain Pygmy Possum","Burramys parvus","Broom's Pygmy-possum|Burramys"
11,"Polar Bear","Ursus maritimus","White Bear|Nanook|Iceland"
12,"Sumatran Giant White-toothed Shrew","Crocidura lepidura","Sumatran Giant Shrew"
13,"Sumatran Orangutan","Pongo abelii",NA
14,"Lavasoa Dwarf Lemur","Cheirogaleus lavasoensis",NA
15,"Makwassie White-toothed Shrew","Crocidura maquassiensis","Makwassie Musk Shrew"
16,"Himalayan Takin","Budorcas taxicolor","Takin|Mishmi Takin|Bhutan Takin|White's Takin"
17,"Thalia's White-toothed Shrew","Crocidura thalia","Thalia's Shrew"
18,"Four-toed Rice Tenrec","Oryzorictes tetradactylus","Four-toed Mole Tenrec"
19,"Juliana's Golden Mole","Neamblysomus julianae",NA
20,"Chestnut-bellied Titi","Plecturocebus caligatus","Booted Titi"
21,"Burmese Short-tailed Shrew","Blarinella wardi","Southern Short-tailed Shrew|Ward's Short-tailed Shrew"
22,"White-tailed Jackrabbit","Lepus townsendii","Prairie Hare"
23,"Goodwin's Broad-clawed Shrew","Cryptotis goodwini","Goodwin's Small-eared Shrew"
24,"Caracal","Caracal caracal","Red Lynx|Caracal Lynx"
25,"Moonshine White-toothed Shrew","Crocidura luna","Greater Gray-brown Musk Shrew|Moonshine Shrew"
26,"Common Brush-tailed Possum","Trichosurus vulpecula","Common Brushtail|Silver-grey Possum"
27,"Unduavi Mouse Opossum","Cryptonanus unduaviensis","Unduave Mouse Opossum"
28,"Ussuri Mole","Mogera robusta","Large Mole"
29,"Nyiro White-toothed Shrew","Crocidura macowi","Macow's Shrew|Nyiro Shrew"
30,"Lowland Streaked Tenrec","Hemicentetes semispinosus",NA
31,"Guadalupe Fur Seal","Arctocephalus townsendi","Lower Californian Fur Seal"
32,"Bearded Seal","Erignathus barbatus","Squareflipper|Atlantic Bearded Seal|Pacific Bearded Seal"
33,"Southern Ningaui","Ningaui yvonneae","Kitchener's Ningaui|Mallee Ningaui"
34,"Volcano Forest Shrew","Sylvisorex vulcanorum","Volcano Shrew"
35,"Bay Cat","Catopuma badia","Bornean Bay Cat"
36,"Vicuña","Lama vicugna","Argentine Vicuña|Peruvian Vicuña"
37,"Marsh Deer","Blastocerus dichotomus",NA
38,"Red-bellied Tamarin","Saguinus labiatus","Geoffroy's Red-bellied Tamarin|Red-chested Mustached Tamarin|White-lipped Tamarin|Gray's Red-bellied Tamarin|Thomas's Mustached Tamarin|Thomas's Red-bellied Tamarin"
39,"Indian Brown Mongoose","Urva fusca",NA
40,"Greater Bilby","Macrotis lagotis","Bilby|Dalgyte|Greater Rabbit-eared Bandicoot|Pinkie|Rabbit Bandicoot"
41,"Chestnut-bellied Shrew","Sorex ventralis","San Felipe Long-tailed Shrew"
42,"Yucatan Brown Brocket","Odocoileus pandora",NA
43,"Vietnamese Water Shrew","Chimarrogale varennei",NA
44,"Amazon Weasel","Neogale africana","Tropical Weasel"
45,"Spotted-necked Otter","Hydrictis maculicollis",NA
46,"Demidoff's Dwarf Galago","Galagoides demidoff","Demidoff's Dwarf Bushbaby|Prince Demidoff's Bushbaby|Bioko Dwarf Galago|Calabar Dwarf Galago|Congo Dwarf Galago|Kasai Dwarf Galago|Uele Dwarf Galago"
47,"Black-fronted Duiker","Cephalophorus nigrifrons",NA
48,"Groves's Titi","Plecturocebus grovesi","Groves's Titi Monkey"
49,"True's Beaked Whale","Mesoplodon mirus",NA
50,"Wilkins's Rock Wallaby","Petrogale wilkinsi","Eastern Short-eared Rock Wallaby"
51,"Hose's Palm Civet","Diplogale hosei",NA
52,"European Rabbit","Oryctolagus cuniculus","Domestic Rabbit|Wild Rabbit"
53,"Peleng Tarsier","Tarsius pelengensis","Peleng Island Tarsier"
54,"Colombian Weasel","Neogale felipei",NA
55,"Cape Genet","Genetta tigrina","South African Large-spotted Genet"
56,"Indian Chevrotain","Moschiola indica",NA
57,"Sumatran Water Shrew","Chimarrogale sumatrana","Sumatra Water Shrew"
58,"Medellin Small-eared Shrew","Cryptotis medellinius","Medellin Shrew"
59,"Pantepui Slender Opossum","Marmosops pakaraimae",NA
60,"Mitered Langur","Presbytis mitrata","Southern Mitered Langur|Depigmented Mitered Langur|Mitred Leaf Monkey"
61,"Pygmy Ring-tailed Possum","Pseudochirulus mayeri","Pygmy Ringtail"
62,"Abbott's Duiker","Cephalophus spadix",NA
63,"Nigerian White-toothed Shrew","Crocidura nigeriae","Nigerian Shrew"
64,"Dabieshan Brown-toothed Shrew","Chodsigoa dabieshanensis","Dabieshan Long-tailed Shrew"
65,"Fin Whale","Balaenoptera physalus","Common Rorqual|Finback|Fin-backed Whale|Finner|Herring Whale|Razorback|Northern Fin Whale|Southern Fin Whale"
66,"Common Dwarf Mongoose","Helogale parvula","Dwarf Mongoose"
67,"Chinese Mountain Cat","Felis bieti","Chinese Desert Cat|Pale Desert Cat"
68,"East Sumatran Banded Langur","Presbytis percura",NA
69,"Southern Colocolo","Leopardus pajeros","Southern Pampas Cat"
70,"Black-horned Capuchin","Sapajus nigritus","Black Capuchin|Crested Black Capuchin|Horned Capuchin"
71,"Emilie's Short-tailed Opossum","Monodelphis emiliae","Amazonian Short-tailed Opossum|Emilia's Short-tailed Opossum"
72,"Montagne d'Ambre Dwarf Lemur","Cheirogaleus andysabini","Andy Sabin's Dwarf Lemur"
73,"Weddell's Saddle-back Tamarin","Saguinus weddelli","Crandall's Saddle-back Tamarin|White-mantled Saddle-back Tamarin|White Saddle-back Tamarin"
74,"Australian Humpback Dolphin","Sousa sahulensis",NA
75,"Urubamba Brown Titi","Plecturocebus urubambensis","Urubamba Brown Titi Monkey"
76,"Northern Raccoon","Procyon lotor","Common Raccoon"
77,"Omilteme Cottontail","Sylvilagus insonus","Omiltemi Cottontail|Omiltemi Rabbit"
78,"Swamp Wallaby","Wallabia bicolor","Black-tailed Wallaby|Black Stinker|Black Wallaby|Stinker"
79,"Mandrill","Mandrillus sphinx",NA
80,"Hairy-tailed White-toothed Shrew","Crocidura caudipilosa","Sulawesi Hairy-Tailed Shrew"
81,"Hernández-Camacho's Night Monkey","Aotus jorgehernandezi","Hernández-Camacho's Owl Monkey"
82,"Putty-nosed Monkey","Cercopithecus nictitans","Greater Spot-nosed Guenon|Greater White-nosed Monkey|Putty-nosed Guenon|White-nosed Guenon|Bioko Putty-nosed Monkey|Eastern Putty-nosed Monkey|Nigerian Putty-nosed Monkey|Red-rumped Putty-nosed Monkey|Stampfli's Putty-nosed Monkey"
83,"Subantarctic Fur Seal","Arctocephalus tropicalis","Amsterdam Island Fur Seal"
84,"Lion","Panthera leo",NA
85,"Evaristo's Small-eared Shrew","Cryptotis evaristoi",NA
86,"Raffles's Banded Langur","Presbytis femoralis",NA
87,"Cayman Nesophontes","Nesophontes hemicingulus",NA
88,"Armenian White-toothed Shrew","Crocidura armenica","Armenian Shrew"
89,"Bawean Deer","Axis kuhlii",NA
90,"Lesser Congo Shrew","Congosorex verheyeni",NA
91,"Blue-eyed Black Lemur","Eulemur flavifrons","Sclater's Black Lemur|Sclater's Lemur"
92,"Akaibe's Forest Shrew","Sylvisorex akaibei","Dudu Akaibe's Pygmy Shrew"
93,"Tucuxi","Sotalia fluviatilis","Brazilian Dolphin|Gray River Dolphin"
94,"Central African Potto","Perodicticus edwardsi","Cameroon Potto|Milne-Edwards's Potto|Central Potto"
95,"Buton Macaque","Macaca brunnescens",NA
96,"Howell's Forest Shrew","Sylvisorex howelli","Howell's Shrew|Uluguru Forest Shrew"
