order_id,mainCommonName,scientific_name,otherCommonNames,Search,
1,Southern Pig-footed Bandicoot,Chaeropus ecaudatus,NA,NA,"""Southern Pig-footed Bandicoot"" OR ""Chaeropus ecaudatus"""
2,Painted Ring-tailed Possum,Pseudochirulus forbesi,Painted Ringtail|Moss-forest Ringtail,"Painted Ringtail"" OR ""Moss-forest Ringtail","""Painted Ring-tailed Possum"" OR ""Pseudochirulus forbesi"" OR ""Painted Ringtail"" OR ""Moss-forest Ringtail"""
3,Dramatic White-toothed Shrew,Crocidura ludia,Ludia's Shrew,Ludia's Shrew,"""Dramatic White-toothed Shrew"" OR ""Crocidura ludia"" OR ""Ludia's Shrew"""
4,Indochinese White-toothed Shrew,Crocidura indochinensis,Indochinese Shrew,Indochinese Shrew,"""Indochinese White-toothed Shrew"" OR ""Crocidura indochinensis"" OR ""Indochinese Shrew"""
5,Northern Montane Shrew,Sorex obscurus,NA,NA,"""Northern Montane Shrew"" OR ""Sorex obscurus"""
6,Northern Palm Civet,Paradoxurus hermaphroditus,Common Palm Civet,Common Palm Civet,"""Northern Palm Civet"" OR ""Paradoxurus hermaphroditus"" OR ""Common Palm Civet"""
7,Black Langur,Trachypithecus ebenus,Black Leaf Monkey|Indochinese Black Langur,"Black Leaf Monkey"" OR ""Indochinese Black Langur","""Black Langur"" OR ""Trachypithecus ebenus"" OR ""Black Leaf Monkey"" OR ""Indochinese Black Langur"""
8,Napo Saki,Pithecia napensis,NA,NA,"""Napo Saki"" OR ""Pithecia napensis"""
9,Buff-footed Antechinus,Antechinus mysticus,NA,NA,"""Buff-footed Antechinus"" OR ""Antechinus mysticus"""
10,Mountain Pygmy Possum,Burramys parvus,Broom's Pygmy-possum|Burramys,"Broom's Pygmy-possum"" OR ""Burramys","""Mountain Pygmy Possum"" OR ""Burramys parvus"" OR ""Broom's Pygmy-possum"" OR ""Burramys"""
11,Polar Bear,Ursus maritimus,White Bear|Nanook|Iceland,"White Bear"" OR ""Nanook"" OR ""Iceland","""Polar Bear"" OR ""Ursus maritimus"" OR ""White Bear"" OR ""Nanook"" OR ""Iceland"""
12,Sumatran Giant White-toothed Shrew,Crocidura lepidura,Sumatran Giant Shrew,Sumatran Giant Shrew,"""Sumatran Giant White-toothed Shrew"" OR ""Crocidura lepidura"" OR ""Sumatran Giant Shrew"""
13,Sumatran Orangutan,Pongo abelii,NA,NA,"""Sumatran Orangutan"" OR ""Pongo abelii"""
14,Lavasoa Dwarf Lemur,Cheirogaleus lavasoensis,NA,NA,"""Lavasoa Dwarf Lemur"" OR ""Cheirogaleus lavasoensis"""
15,Makwassie White-toothed Shrew,Crocidura maquassiensis,Makwassie Musk Shrew,Makwassie Musk Shrew,"""Makwassie White-toothed Shrew"" OR ""Crocidura maquassiensis"" OR ""Makwassie Musk Shrew"""
16,Himalayan Takin,Budorcas taxicolor,Takin|Mishmi Takin|Bhutan Takin|White's Takin,"Takin"" OR ""Mishmi Takin"" OR ""Bhutan Takin"" OR ""White's Takin","""Himalayan Takin"" OR ""Budorcas taxicolor"" OR ""Takin"" OR ""Mishmi Takin"" OR ""Bhutan Takin"" OR ""White's Takin"""
17,Thalia's White-toothed Shrew,Crocidura thalia,Thalia's Shrew,Thalia's Shrew,"""Thalia's White-toothed Shrew"" OR ""Crocidura thalia"" OR ""Thalia's Shrew"""
18,Four-toed Rice Tenrec,Oryzorictes tetradactylus,Four-toed Mole Tenrec,Four-toed Mole Tenrec,"""Four-toed Rice Tenrec"" OR ""Oryzorictes tetradactylus"" OR ""Four-toed Mole Tenrec"""
19,Juliana's Golden Mole,Neamblysomus julianae,NA,NA,"""Juliana's Golden Mole"" OR ""Neamblysomus julianae"""
20,Chestnut-bellied Titi,Plecturocebus caligatus,Booted Titi,Booted Titi,"""Chestnut-bellied Titi"" OR ""Plecturocebus caligatus"" OR ""Booted Titi"""
21,Burmese Short-tailed Shrew,Blarinella wardi,Southern Short-tailed Shrew|Ward's Short-tailed Shrew,"Southern Short-tailed Shrew"" OR ""Ward's Short-tailed Shrew","""Burmese Short-tailed Shrew"" OR ""Blarinella wardi"" OR ""Southern Short-tailed Shrew"" OR ""Ward's Short-tailed Shrew"""
22,White-tailed Jackrabbit,Lepus townsendii,Prairie Hare,Prairie Hare,"""White-tailed Jackrabbit"" OR ""Lepus townsendii"" OR ""Prairie Hare"""
23,Goodwin's Broad-clawed Shrew,Cryptotis goodwini,Goodwin's Small-eared Shrew,Goodwin's Small-eared Shrew,"""Goodwin's Broad-clawed Shrew"" OR ""Cryptotis goodwini"" OR ""Goodwin's Small-eared Shrew"""
24,Caracal,Caracal caracal,Red Lynx|Caracal Lynx,"Red Lynx"" OR ""Caracal Lynx","""Caracal"" OR ""Caracal caracal"" OR ""Red Lynx"" OR ""Caracal Lynx"""
25,Moonshine White-toothed Shrew,Crocidura luna,Greater Gray-brown Musk Shrew|Moonshine Shrew,"Greater Gray-brown Musk Shrew"" OR ""Moonshine Shrew","""Moonshine White-toothed Shrew"" OR ""Crocidura luna"" OR ""Greater Gray-brown Musk Shrew"" OR ""Moonshine Shrew"""
26,Common Brush-tailed Possum,Trichosurus vulpecula,Common Brushtail|Silver-grey Possum,"Common Brushtail"" OR ""Silver-grey Possum","""Common Brush-tailed Possum"" OR ""Trichosurus vulpecula"" OR ""Common Brushtail"" OR ""Silver-grey Possum"""
27,Unduavi Mouse Opossum,Cryptonanus unduaviensis,Unduave Mouse Opossum,Unduave Mouse Opossum,"""Unduavi Mouse Opossum"" OR ""Cryptonanus unduaviensis"" OR ""Unduave Mouse Opossum"""
28,Ussuri Mole,Mogera robusta,Large Mole,Large Mole,"""Ussuri Mole"" OR ""Mogera robusta"" OR ""Large Mole"""
29,Nyiro White-toothed Shrew,Crocidura macowi,Macow's Shrew|Nyiro Shrew,"Macow's Shrew"" OR ""Nyiro Shrew","""Nyiro White-toothed Shrew"" OR ""Crocidura macowi"" OR ""Macow's Shrew"" OR ""Nyiro Shrew"""
30,Lowland Streaked Tenrec,Hemicentetes semispinosus,NA,NA,"""Lowland Streaked Tenrec"" OR ""Hemicentetes semispinosus"""
31,Guadalupe Fur Seal,Arctocephalus townsendi,Lower Californian Fur Seal,Lower Californian Fur Seal,"""Guadalupe Fur Seal"" OR ""Arctocephalus townsendi"" OR ""Lower Californian Fur Seal"""
