ID,Species,Binomial,Presence_of_Data,Publish_Date,Original_Data,Date_Start,Date_End,Country,Lat,Long,Sample_Size,Age_Min,Age_Max,Testicular_Volume,Testicular_Circumference,Collection_Method,Seminal_Volume,Mean_Motility,Sperm_Concentration,%_Normal_Morphology,%_Intact_Acrosome,%_Head_Abnormalities,%_Midpiece_Abnormalities,%_Tail_Abnormalities,Housing,Pairing,Reference,Comments,,,,,,,,,
1,Central American Tapir,Tapirus bairdii,Yes,2023-01-02,Yes,2007-04-01,2008-10-01,PAN,8.609836385,-80.13205751,11,2,21,131.4,15.15818455,EEJ,20.4,46.1,101.2,6.9,74.8,34.8,0.3,90.9,captive,multiple,https://doi.org/10.2164/jandrol.110.011833,,,,,,,,,,
2,Caracals,Caracal caracal,Yes,2016-01-01,Yes,,,BEL,51.05019099,3.731680076,2,4,7,,,multiple,0.24,86,122,12,,,,,captive,multiple,https://libstore.ugent.be/fulltxt/RUG01/002/274/171/RUG01-002274171_2016_0001_AC.pdf,A comparative study in morphological defects of semen from African Lions (Panthera leo) and Caracal (Caracal caracal): collected by urethral catheterization and electroejaculation.,,,,,,,,,
3,Cheetah,Acinonyx jubatus,Yes,2015-09-02,Yes,,,USA,multiple,multiple,29,2,12,,,EEJ,,66.25,41,25,,,,,captive,multiple,10.1371/journal.pone.0135847,,,,,,,,,,
4,Cheetah,Acinonyx jubatus,Yes,1988-03-01,Yes,1982-02-01,1985-04-30,USA,41.2260423,-95.92683035,3,3,9,,,EEJ,1.8,69,27.3,35.4,98.4,3.8,34.3,26,captive,multiple,10.1095/biolreprod38.2.245,,,,,,,,,,
5,Cheetah,Acinonyx jubatus,Yes,2013-01-02,Yes,,,NAM,multiple,multiple,8,2.5,9,11.1,,EEJ,3.3,74.2,36,19.9,86.6,22.6,36.5,14.5,captive,alone,10.2164/jandrol.108.006239,,,,,,,,,,
6,Cheetah,Acinonyx jubatus,Yes,2010-07-21,Yes,,,multiple,multiple,multiple,22,2.5,10,,,EEJ,1.98,64,50,24,92,19.3,55.6,3,captive,bachelor group,10.1095/biolreprod.110.085639,,,,,,,,,,
7,Cheetah,Acinonyx jubatus,Yes,2006-01-10,Yes,,,NAM,-20.48402925,17.03218849,13,1.75,14,9.2,,EEJ,3.7,78,20.4,21.7,86.3,17.3,45.7,8.5,captive,multiple,10.1016/j.cryobiol.2005.10.011,wild born,,,,,,,,,
8,Cheetah,Acinonyx jubatus,Yes,1993-01-01,Yes,,,USA,,,60,,,13.9,,EEJ,1.5,67,29.3,21.3,,9.3,38.8,30.6,captive,,https://doi.org/10.1002/zoo.1430120107,,,,,,,,,,
9,Cheetah,Acinonyx jubatus,Yes,1992-01-01,Yes,1990-12-01,1991-01-01,USA,multiple,multiple,9,2.5,7,,,EEJ,1.1,74.4,42.8,28.4,,5.666666667,44.16666667,20,captive,alone,https://doi.org/10.1095/biolreprod46.6.1047,,,,,,,,,,
10,Asian Elephant,Elephas maximus,Yes,2004-02-01,Yes,,,CAN,43.34103859,-80.17986923,2,18,32,,,RM,5,,830,,,,,,captive,,https://doi.org/10.1016/j.anireprosci.2003.07.001,,,,,,,,,,
11,Asian Elephant,Elephas maximus,Yes,2000-03-01,Yes,,,USA,45.51545374,-122.7093008,1,11,11,,,AV,56.5,65,2000,67.3,,,,32.7,captive,,https://doi.org/10.1016/S0093-691X(00)00237-5,,,,,,,,,,
12,African Elephant,Loxodonta africana,Yes,2020-01-24,No,,,ZAF,-27.88641495,32.21839436,12,17,35,,,EEJ,59.7,80.5,904.2,55.7,,15.8,14.2,14.2,wild,,https://doi.org/10.1071/RD19182,,,,,,,,,,
13,Southern Pig-footed Bandicoot,Chaeropus ecaudatus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,African Elephant,Loxodonta africana,Yes,2013-03-06,Yes,2009-09-01,2010-04-30,ZAF,-27.87859005,32.22677323,14,14,36,,,EEJ,98.6,86.45,794.05,72.8,79.5,,,,wild,,https://doi.org/10.1371/journal.pone.0057616,,,,,,,,,,
15,Jaguar,Panthera onca,Yes,2018-08-01,Yes,,,BRA,multiple,multiple,5,5,8,,,UC,0.43,79,3315,51,,2,2.6,44.2,wild,,10.1016/j.anireprosci.2017.12.019,,,,,,,,,,
16,Jaguar,Panthera onca,Yes,2018-08-01,Yes,,,BRA,multiple,multiple,6,3,12,,,UC,0.292,73,2091.4,60.7,,0.75,1.25,37.25,captive,,10.1016/j.anireprosci.2017.12.019,,,,,,,,,,
17,Jaguar,Panthera onca,Yes,1996-01-01,Yes,,,USA,,,4,,,,,EEJ,,,,57.9,77.5,,,,captive,,https://doi.org/10.1016/0093-691X(96)84714-5,,,,,,,,,,
18,Jaguar,Panthera onca,Yes,1998-01-01,Yes,1996-01-01,1997-01-01,BRA,multiple,multiple,10,7,10,,,EEJ,7.42,62.6,6.2,46.7,96.4,,,,captive,,https://doi.org/10.1590/S1413-95961998000400007,,,,,,,,,,
19,Leopard,Panthera pardus,Yes,1988-03-01,Yes,1982-02-01,1985-04-30,USA,41.2260423,-95.92683035,4,7,11,,,EEJ,5.1,43.8,46.2,21,94.5,6.05,35.8,37.6,captive,multiple,https://doi.org/10.1095/biolreprod38.2.245,,,,,,,,,,
20,Lion,Panthera leo,Yes,2017-02-01,Yes,2012-01-01,2014-12-31,ZAF,-25.73585246,28.1904112,29,2.5,8,,,EEJ,,60,968,44,,,,,captive,,https://doi.org/10.1016/j.theriogenology.2016.10.024,,,,,,,,,,
21,Lion,Panthera leo,Yes,2012-08-01,Yes,,,ZAF,-25.73584028,28.19047366,7,4,10,,,UC,0.42286,84,1940,46,,,,,captive,multiple,https://doi.org/10.1016/j.theriogenology.2012.02.026,,,,,,,,,,
22,Lion,Panthera leo,Yes,2004-05-01,Yes,,,ZAF,,,8,1,4,50.933,9.738937226,EEJ,5.28,90,101,65.7,,,,,captive,,http://hdl.handle.net/11660/5464,,,,,,,,,,
23,Lion,Panthera leo,Yes,2016-01-01,Yes,,,ZAF,-25.52119529,27.67895873,4,4,7,,,UC,0.34,66,1327,15,,,,,captive,multiple,https://libstore.ugent.be/fulltxt/RUG01/002/274/171/RUG01-002274171_2016_0001_AC.pdf,A comparative study in morphological defects of semen from African Lions (Panthera leo) and Caracal (Caracal caracal): collected by urethral catheterization and electroejaculation.,,,,,,,,,
24,Lion,Panthera leo,Yes,2007-12-03,Yes,,,BRA,-23.65052744,-46.62003687,14,,,,,EEJ,5.83,73.85,11.62,45,,,,,captive,,https://doi.org/10.11606/issn.1678-4456.bjvras.2007.26592,,,,,,,,,,
25,Malayan Tapir,Tapirus indicus,Yes,2011-12-01,Yes,2010-07-01,2011-06-30,THA,multiple,multiple,8,4,20,105.7,14.60840584,EEJ,10.3,24,206.1,6.7,39.2,,32,12,captive,,10.56808/2985-1130.2343,,,,,,,,,,
26,Wild Horse,Equus ferus,Yes,2010-01-01,Yes,,,USA,38.88728864,-78.16506874,14,,,,,EEJ,31.1,42.2,2.69,19.1,,,,,captive,,https://espace.library.uq.edu.au/view/UQ:271321,Understanding the reproductive biology of the Przewalski's horse (equus ferus przewalskii),,,,,,,,,
27,Puma,Felus concolor,Yes,1988-03-01,Yes,1982-02-01,1985-04-30,USA,41.2260423,-95.92683035,3,3,9,,,EEJ,3.4,64.3,22,27,98.6,1.54,45.3,26.7,captive,multiple,10.1095/biolreprod38.2.245,,,,,,,,,,
28,Red Wolf,Canis rufus,Yes,2009-02-01,Yes,2002-03-08,2004-02-27,USA,47.30525163,-122.5215522,15,2,13,,,EEJ,6.2,75.6,72.1,54.7,51.2,,,,captive,pair,10.1016/j.theriogenology.2008.07.030,,,,,,,,,,
