ID,Species,Species_Sample_Size,Country,Lat,Long,Location_Sample_Size,Collection_Method,Housing_Conditons
1,,,,,,,,alone
1,,,,,,,,pair
1,,,,,,,,breeding group
2,,,,,,,EEJ,bachelor group
2,,,,,,,UC,breeding group
3,,,,37.25433,-93.30511,1,,alone
3,,,,39.97376,-75.19434,3,,pair
3,,,,33.09755,-116.99477,6,,breeding group
3,,,,38.88726,-78.1639,7,,
3,,,,30.9379,-81.69948,4,,
3,,,,43.14097,-123.42727,4,,
3,,,,40.00507,-81.73129,4,,
4,,,,,,,,alone
4,,,,,,,,pair
4,,,,,,,,breeding group
5,,,,-20.48407448,17.03220995,,,
5,,,,-19.54807367,15.77192373,,,
6,,,USA,-20.4840192,17.0320812,18,,
6,,,NAM,30.78487048,-81.66338252,3,,
6,,,,38.92978667,-77.04945181,1,,
7,,,,,,,,alone
7,,,,,,,,pair
7,,,,,,,,breeding group
9,,,,32.18006703,-97.79661492,,,
9,,,,32.36962473,-85.59483409,,,
16,,,,-23.19109828,-46.9788275,2,,
16,,,,-22.76509033,-47.15372304,1,,
16,,,,-15.85747978,-48.47594845,3,,
15,,,,-16.84396939,-57.49251668,2,,
15,,,,-19.57315395,-56.15246654,2,,
15,,,,-8.672310082,-42.57791788,1,,
18,,,,-23.65058641,-46.62016561,7,,
18,,,,-23.50515412,-47.43706964,3,,
19,,,,,,,,alone
19,,,,,,,,pair
19,,,,,,,,breeding group
37,,,,,,,,alone
37,,,,,,,,pair
37,,,,,,,,breeding group
27,,,,,,,,alone
27,,,,,,,,pair
27,,,,,,,,breeding group
21,,,,,,,,breeding group
21,,,,,,,,bachelor group
22,,,,-27.37416348,26.61989676,6,,
22,,,,-26.14646859,28.03497975,2,,
23,,,,,,,,bachelor group
23,,,,,,,,breeding group
25,,,,13.21502733,101.057237,3,,
25,,,,14.85057037,102.0749434,2,,
25,,,,18.81077485,98.94818856,1,,
25,,,,7.14809172,100.6093135,2,,
29,,,,,,,,alone
29,,,,,,,,pair
29,,,,,,,,family
30,,,,,,,,pair
30,,,,,,,,bachelor group
30,,,,,,,,family
30,,,,,,,,alone
34,,,,,,,,pair
34,,,,,,,,breeding group
35,,,AUS,-37.922517,144.6673411,1.5,,
35,,,AUT,-35.79520833,150.1594966,1.5,,
35,,,DEU,-35.08765223,139.1627037,1.5,,
35,,,,-37.14706688,142.5637103,1.5,,
35,,,,47.75668026,13.06600574,1.333333333,,
35,,,,58.6653375,16.465667,1.333333333,,
35,,,,39.47827984,-0.40755312,1.333333333,,
39,,,,38.92975746,-77.04976295,4,,
39,,,,39.8296141,-81.73305013,3,,
39,,,,40.85027944,-73.87671097,2,,
46,,,CHN,30.73313036,104.1457885,2,,
46,,,USA,32.73616456,-117.1509544,1,,
47,,,,-22.5309,-48.2642,1,,
47,,,,-20.38956838,-55.27777556,7,,
53,,,,37.04290014,-6.434457432,,,
53,,,,38.37050369,-3.830042965,,,
53,,,,36.68539602,-6.128136092,,,
58,,,,-23.50515412,-47.43727349,3,,
58,,,,-22.34036554,-49.01990283,2,,
58,,,,-23.44256043,-46.55230416,1,,
58,,,,-23.04633798,-46.74715649,4,,
58,,,,-21.17255271,-47.8028302,2,,
58,,,,-23.42237515,-47.30630409,1,,
67,,,,41.22601002,-95.92714149,1,,alone
67,,,,39.00738183,-94.52933357,1,,bachelor group
68,,,,,,,EEJ,
68,,,,,,,UC,
68,,,,,,,EPD,
69,,,CZE,50.43499788,15.79863081,2,,
69,,,SVK,48.1568166,17.07571987,1,,
75,,,,40.75525881,-104.9907189,,,
75,,,,38.88728029,-78.16533696,,,
77,,,,,,,EPD,
77,,,,,,,UC,
111,,,,,,,EEJ,
111,,,,,,,EPD,
188,,,,-2.319130969,34.83471456,,,
188,,,,-3.164889211,35.54524959,,,
189,,,,17.35198421,78.45143697,,,
189,,,,21.54201392,70.46460604,,,
189,,,,20.39639446,85.82608906,,,
190,,,,17.35198421,78.45143697,,,
190,,,,21.54201392,70.46460604,,,
190,,,,20.39639446,85.82608906,,,
245,,,,,,,,pair
245,,,,,,,,breeding group
285,,,,38.88727984,-78.16533187,,,alone
285,,,,30.73105309,-81.71863091,,,bachelor group
288,,,,30.73105309,-81.71863091,6,,alone
288,,,,29.2180486,-82.05702351,3,,bachelor group
288,,,,35.52396369,-97.4724932,1,,pair
