"Binomial"
"Tapirus bairdii"
"Caracal caracal"
"Acinonyx jubatus"
"Elephas maximus"
"Loxodonta africana"
"Chaeropus ecaudatus"
"Panthera onca"
"Panthera pardus"
"Panthera leo"
"Tapirus indicus"
"Equus ferus"
"Felus concolor"
"Canis rufus"
"multiple"
"Ceratotherium simum"
"Vulpes vulpes"
"Panthera tigris"
"Ursus arctos"
"Ailuropoda melanoleuca"
"Myrmecophaga tridactyla"
"Euphractus sexcinctus"
"Cerdocyon thous"
"Vulpes lagopus"
"Neofelis nebulosa"
"Lynx pardinus"
"Tolypeutes matacus"
"Pseudochirulus forbesi"
"Crocidura ludia"
"Crocidura indochinensis"
"Ovis gmelinii"
"Pan troglodytes"
"Homo sapiens"
"Gorilla gorilla"
"Ursus maritimus"
"Giraffa camelopardalis"
"Bradypus tridactylus"
"Bison bison"
"Sorex obscurus"
"Lynx rufus"
"Mustela nigripes"
"Canis latrans"
"Felis catus"
"Capra pyrenaica"
"Dama dama"
"Pan paniscus"
"Pongo pygmaeus"
"Paradoxurus hermaphroditus"
"Trachypithecus ebenus"
"Pithecia napensis"
"Antechinus mysticus"
"Burramys parvus"
"Crocidura lepidura"
"Pongo abelii"
"Cheirogaleus lavasoensis"
"Crocidura maquassiensis"
"Budorcas taxicolor"
"Crocidura thalia"
"Oryzorictes tetradactylus"
"Neamblysomus julianae"
"Plecturocebus caligatus"
"Blarinella wardi"
"Lepus townsendii"
"Cryptotis goodwini"
"Crocidura luna"
"Trichosurus vulpecula"
"Lasiorhinus latifrons"
"Sarcophilus harrisii"
"Cryptonanus unduaviensis"
"Mogera robusta"
"Crocidura macowi"
"Notamacropus eugenii"
"Hemicentetes semispinosus"
"Arctocephalus townsendi"
"Erignathus barbatus"
"Ningaui yvonneae"
"Sylvisorex vulcanorum"
"Catopuma badia"
"Felis margarita"
"Felis nigripes"
"Felis chaus"
"Otocolobus manul"
"Lama vicugna"
"Blastocerus dichotomus"
"Saguinus labiatus"
"Urva fusca"
"Macrotis lagotis"
"Sorex ventralis"
"Odocoileus pandora"
"Chimarrogale varennei"
"Neogale africana"
"Hydrictis maculicollis"
"Galagoides demidoff"
"Cephalophorus nigrifrons"
"Plecturocebus grovesi"
"Mesoplodon mirus"
"Petrogale wilkinsi"
"Diplogale hosei"
"Oryctolagus cuniculus"
"Tarsius pelengensis"
"Neogale felipei"
"Genetta tigrina"
"Moschiola indica"
"Chimarrogale sumatrana"
"Cryptotis medellinius"
"Marmosops pakaraimae"
"Presbytis mitrata"
"Pseudochirulus mayeri"
"Cephalophus spadix"
"Crocidura nigeriae"
"Chodsigoa dabieshanensis"
"Balaenoptera physalus"
"Helogale parvula"
"Felis bieti"
"Presbytis percura"
"Leopardus pajeros"
"Sapajus nigritus"
"Monodelphis emiliae"
"Cheirogaleus andysabini"
"Saguinus weddelli"
"Sousa sahulensis"
"Plecturocebus urubambensis"
"Procyon lotor"
"Sylvilagus insonus"
"Wallabia bicolor"
