Specie,Year,Location,number of animals,Collectio method,Mean motility,Sperm concentration (million/ml),% normal sperm,housing,Reference,Comments
Bairds Tapir,2011,Panama,11,EEJ,46.1,101,6.9,captive,https://onlinelibrary.wiley.com/doi/full/10.2164/jandrol.110.011833,
Caracals,2014,Belgium,2,UC,86,132,12,captive,https://libstore.ugent.be/fulltxt/RUG01/002/274/171/RUG01-002274171_2016_0001_AC.pdf,
Cheetah,2015,7 facilities in the US,29,EEJ,66.25,41,25,captive,10.1371/journal.pone.0135847,
Cheetah,1982,"NE,US",,EEJ,69,27.3,36,captive,10.1095/biolreprod38.2.245,
Cheetah,2009,Namibia,8,EEJ,74.2,36,19.9,captive,10.2164/jandrol.108.006239,
Cheetah,2010,"Namibia, FL and VA, US",22,EEJ,64,50,24,captive,10.1095/biolreprod.110.085639,
Cheetah,2006,Namibia,13,EEJ,78,20.4,21.7,captive,10.1016/j.cryobiol.2005.10.011,wild born
Cheetah,1993,USA,60,EEJ,67,29.3,21.3,captive,"D.E. Wildt, J.L. Brown, M. Bush, M.A. Barone, K.A. Cooper, J. Grisham, J.G. Howard, Reproductive status of cheetahs (Acinonyx jubatus) in North American zoos: the beneWts of physiological surveys for strategic planning, Zoo Biology 12 (1993) 45–80.",
Cheetah,1990,"TX, FL USA",9,EEJ,75,42.8,28.5,captive,https://doi.org/10.1095/biolreprod46.6.1047,
Elaphant asian,2004,"ON, Canada",2,RM,,832,,captive,https://www.sciencedirect.com/science/article/pii/S037843200300174X,
Elaphant asian,1998,"OR, USA",1,AV,65,2000,67.3,captive,https://reader.elsevier.com/reader/sd/pii/S0093691X00002375?token=9F789FC6F7FA15BDBAEAC35A8B72BADC68547E98D4FD7A427F8B3F40A729C70B66A5326065A06CB9FA8ED29D12C4FC69&originRegion=eu-west-1&originCreation=20221010185941,
Elephant African,2018,South Africa,12,EEJ,74.6,976.4,57.6,free-range,https://sci-hub.st/https://www.publish.csiro.au/RD/RD19182,
Elephant African,1982,South Africa,9,EEJ,70,2409,77.5,free-range,https://www.sciencedirect.com/science/article/pii/S0093691X00002375,
Elephant African,2009,South Africa,14,EEJ,86,781,60.7,free-range,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0057616,
jaguar,2015,Brazil,5,UC,79,3315,51,wild,10.1016/j.anireprosci.2017.12.019,
jaguar,2015,Brazil,6,UC,73,229,60.7,captive,10.1016/j.anireprosci.2017.12.019,
jaguar,1996,USA,4,EEJ,,,57.9,captive,https://reader.elsevier.com/reader/sd/pii/0093691X96847145?token=07F70F5AA39BC3608EA6BCD10FA8E5A5DB84872CCACB0ED61C030EAA72DCF4300BA786CBEA823A9179850545C158000A&originRegion=eu-west-1&originCreation=20221010190731,
jaguar,1999,Brazil,10,EEJ,62.6,6.2,46.749,captive,https://www.scielo.br/j/bjvras/a/PWqV9j4VTn5NNhFTX6Vcxrd/abstract/?format=html&lang=en,
Leopard,1982,"NE,US",,EEJ,43.8,46.2,21,captive,10.1095/biolreprod38.2.245,
Lion,2012,South Africa,29,EEJ,60,968,44,captive,https://doi.org/10.1016/j.theriogenology.2016.10.024,
Lion,2012,South Africa,7,UC,84,1940,46,captive,https://doi.org/10.1016/j.theriogenology.2012.02.026,
Lion,2004,South africa,8,EEJ,90,101,65.7,captive,https://scholar.ufs.ac.za/handle/11660/5464,
Lion,2014,South africa,4,UC,66,1327,15,captive,https://libstore.ugent.be/fulltxt/RUG01/002/274/171/RUG01-002274171_2016_0001_AC.pdf,
Lion,2007,Brazil,14,EEJ,73.85,11.62,45,captive,https://www.revistas.usp.br/bjvras/article/view/26592,
Malayan Tapir,2011,,8,EEJ,24,,6.7,captive,https://www.researchgate.net/publication/287686436_Ejaculate_characteristics_of_captive_Malayan_tapirs_Tapirus_indicus,
Przewalski’s horse,2010,,14,EEJ,42.2,,19.1,captive,,
Puma,1982,"NE,US",,EEJ,64.3,22,27,captive,10.1095/biolreprod38.2.245,
Red wolf,2002,"WA, USA",15,EEJ,75.6,72.1,54.7,captive,10.1016/j.theriogenology.2008.07.030,
Red wolf,1990,10 facilities in USA,64,EEJ,72,104,65,captive,10.1016/j.theriogenology.2016.04.080,
Red wolf,2015,15 facilities in USA,39,EEJ,80.8,96.7,46.5,captive,10.1016/j.theriogenology.2018.05.007,
Red wolf,2018,USA,8,EEJ,73.75,72.2,,captive,https://doi.org/10.1530/RAF-20-0042,
Red wolf,1994,"WA, USA",3,EEJ,70.93,122,66,captive,https://doi.org/10.1530/jrf.0.1140095,
Rhino,2018,,14,EEJ,90.3,620.7,84,captive,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0200154,
Rhino,2005,,7,EEJ,98.2,37100,75,captive,https://www.jstor.org/stable/20096516,
Rhino,2018,Europe and Australia,10,EEJ,88.3,863.3,82.2,captive,https://www.mdpi.com/2079-7737/11/2/154/htm,
silver fox,1993,,36,EEJ,,,87.55,farm,https://europepmc.org/article/med/8229937,
Tiger,1982,"NE,US",,EEJ,81.5,31.9,63,captive,10.1095/biolreprod38.2.245,
Tiger,2016,Indonesia,5,EEJ,72.5,114,,,https://www.ingentaconnect.com/content/cryo/cryo/2016/00000037/00000004/art00005#,
Przewalski’s horse,2006,USA,9,EEJ,52.7,2000,23.4,captive,https://reader.elsevier.com/reader/sd/pii/S0378432006001254?token=4ED6673D539264B8494D8E56E2CF000A42DCDA05D24909A7511A74AD06011C610161AC9799A2A6856E99096C247B2571&originRegion=eu-west-1&originCreation=20221011050224,
Brown bear,2015,Spain,24,EEJ,,323.6,,captive,https://www.sciencedirect.com/science/article/pii/S0093691X15003222,
Brown bear,2016,Spain,8,EEJ,87.5,208.2,71,captive,https://www.sciencedirect.com/science/article/pii/S0093691X15006469,only acrosome and apoptosis cosidered for morphology
Brown bear,1995,Japan,10,EEJ,80,471.6,78.2,captive,https://www.jstage.jst.go.jp/article/jvms/60/8/60_8_965/_pdf/-char/ja,
Giant Panda,2004,China,9,EEJ,76.1,1100,84.2,captive,https://rep.bioscientifica.com/view/journals/rep/127/5/1270547.xml,
Giant Panda,2015,Spain,1,EEJ,96,2621,84,captive,https://onlinelibrary.wiley.com/doi/full/10.1111/and.12468,
Giant Panda,1979,USA,1,EEJ,85,1967,85,captive,https://rep.bioscientifica.com/view/journals/rep/67/1/jrf_67_1_002.xml,
Giant Panda,2003,"China, USA",3,EEJ,76.5,703,,captive,https://onlinelibrary.wiley.com/doi/epdf/10.1002/zoo.10107,
Giant Anteater,2015,Brazil,8,EEJ,75,108.5,,free-range,https://www.sciencedirect.com/science/article/abs/pii/S0093691X1500429X?via%3Dihub,
Six-banded armadillo,2013,Brazil,4,EEJ,65.8,757,89.4,captive,https://www.sciencedirect.com/science/article/pii/S0093691X20303666,
Crab-eating fox,2020,Brazil,5,Digital manipulation,68,217,,captive,https://www.sciencedirect.com/science/article/pii/S0093691X20303666#tbl3,
Arctic fox,2018,Poland,9,Manual,70,200,93,captive,,
Clouded leopard,1986,USA,12,EEJ,71,29.96,60.9,captive,https://watermark.silverchair.com/biolreprod0937.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAtswggLXBgkqhkiG9w0BBwagggLIMIICxAIBADCCAr0GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMMzzEFf7dMmOMCVjwAgEQgIICjs_GRGkZdgXqGV6_BV6za6dRjfKER2EvqDeLapeDUgaP-oAzqVyFUapZk0h7eG7w6yv8Xto9mIgfWnH_SZBOR909-CasyyRuTuaPQ-qRcE7jKoyIkMEBqFAUcummLRpufWCvKAH8Dyzw6tS5-m6uLdh3Jz67rp4iYgwLXjvvMEQTIParv1xfKsBNy94XPIp_bf6PjPHVLOm-Z_PZj8_pEo_aQyTuisMaQn8E-8zaLSgbgJbtIreDpb5f0O7nnDQ3wV-qBI1m7W-3vY9C5fOCaweNLBVw3tNnxkVp5VCq9UDR_il0Gelv4J1akqx7GKqpg_7BHBWaKaOR8IigLpks-YXzpX8_8S5m-UqZZND3g738S__u4sMCO0A9NtdDIeTCYkSnOwAVbLd5Cj8TsJBYjaJOkRyK5ja5MKAdVJn0oKb6TLbAeJvkFULF4TM05S3hqJgqzByvwvd0E7SjheI-dY2eRX4FltOXJX6iEFo5WKpO5CI4raoMePmyVtzk0Uq4XbPrgrXacggd4RyV19Md-ys5oejAMeFQjtX5tJ3XIJ5kxtFS8jadgX80kZyOoXcLAQ3EdSZi54Yrou39GNSci3RFKEUwzIjw37bq_6XK1WvbiNg0AHsrBsSWaNhZbNfhxY6O0icLMqYgMKwbDbHT9WqlFrDPqpHbgCLJj-qrZAj32GHAxMNQkbjlVV__oZe8eVwcpEQ3DLVtZjqpL4TNE3QmYpVocVHH1SuZlc0NzKyjiPnfs7mtYGnWEksM9cEAeOkB9E4t9Fn0idOHyYJeoLcDl5k8yDfWRKgDADxuFAQcuuf_cswdVBzA-9KJiYwMjo204U23tZ31meAWGUnJ3cWWFekxU-4MOFLzjrk4tg,
Clouded leopard,2016,Thailand,11,EEJ,76.8,178.8,36.1,captive,https://reader.elsevier.com/reader/sd/pii/S0093691X16303296?token=C63BF40CCF86FF2FCFF577E21B36470D387F95F13279783402D7049067FDF3CB38D6D615ADEB104BBA9FC47867B69DB3&originRegion=eu-west-1&originCreation=20221016130146,
Iberian Lynx,2006,Spain,4,EEJ,58.3,10.1,25.9,free-range,https://www.researchgate.net/profile/Inigo-Sanchez-3/publication/26795147_Reproductive_traits_in_captive_and_free-ranging_males_of_the_critically_endangered_Iberian_lynx_Lynx_pardinus/links/09e4150e9685ce87b9000000/Reproductive-traits-in-captive-and-free-ranging-males-of-the-critically-endangered-Iberian-lynx-Lynx-pardinus.pdf,
Iberian Lynx,2006,Spain,9,EEJ,85.6,20.5,33,captive,https://www.researchgate.net/profile/Inigo-Sanchez-3/publication/26795147_Reproductive_traits_in_captive_and_free-ranging_males_of_the_critically_endangered_Iberian_lynx_Lynx_pardinus/links/09e4150e9685ce87b9000000/Reproductive-traits-in-captive-and-free-ranging-males-of-the-critically-endangered-Iberian-lynx-Lynx-pardinus.pdf,
armadillo,2002,USA,3,EEJ,24.5,23,86.9,captive,https://doi.org/10.1002/zoo.10053,
armadillo,2013,Brazil,4,EEJ,,,89.4,captive,https://reader.elsevier.com/reader/sd/pii/S0378432013001759?token=01C514DDE214B51FE11ABA40E033C9D7AB412FF529702D292AA09FD44066BA4D5105CDBA004833BEDD730748E37ED09B&originRegion=eu-west-1&originCreation=20221016132055,
